ม|ู|น|ช|า|ว:เ:ว|อ:ร:์|	m|u|n|s:h|o|w:e|r|
เ:ฮ|อ:ร:์|แ|ม|น|,|	h|e|r|m|a:n|,|
ส:โ:ต|ร|บ|	s:t|r:o|b:e|
โ|ร|ม|า|โ|น|	r|o|m|a|n|o|
ซ:อ:เ|ว|ล|	s:o|w:e|l:l|
ค|า|ร:์|ล|เ:บ:ิ|ร:์|ก|	c|a|r|l|b:e|r|g|
ก|ั|ล|ล|ิ|เ:ว:อ|ร:์|	g|u|l|l|i|v:e|r|
โ:ร|ส:์|เ:ช|อ:ร:์|	r:a:u|s|c:h:e|r|
เ:พ|ร|ส|ไ:บ|ท|ี|เ|ร|ี:ย|น|	p|r|e:s|b|y|t|e|r|i|a:n|
ม|็:อ:บ|	m|o:b|
ม|ุ|ส|ล|ิ|ม|	m|u|s|l|i|m|
ก|ุ|ส|ต|ั|น|,|	g|u|s|t|o|n|,|
ซ|อ|ส|ช:า|	s:c:i|o|s|c:i:a|
เ:ฟ|ิ|ร:์|ม|	f|i|r|m|
ไ:ซ:เ|ล|็|ม|	x:y|l|e|m|
บ|ั|ด|ด:์|	b|u|d|d|
โ:อ|น|ิ|ส|	o|n|i|s|
ช|อ|ร:์|ต|เ:บ|ร|ด|	s:h|o|r|t|b|r:e|a:d|
เ:ค|ล|ี:ย|ร:์|	c|l:e|a|r|
จ:ู|เ|ล|ี:ย|อ:า|ร|ด:์|	j:u:i|l|l|i|a|r|d|
ว|ั|ต|เ:ท:ิ|น|เ:บ:ิ|ร:์|ก|	w|a|t|t:e|n|b:e|r|g|
พ:ั:ก|ค:่:า|	p:a|c:a|
อ:ิ|น|เ:ท|ล|ล:ิ:เ|จ|น|ต:์|	i|n|t|e:l|l:i|g:e|n|t|
ก|ล|ี|แ|ม|น|	g|l|e|e|m|a:n|
ไ|ซ|ม|า|	s|i|m|a|
ไ:ร:เ|ม|ิ:น|	r:y|m:a|n|
ซ|อ|ย:เ:อ|อ:ร:์|	s|o|y|e:r|
แ:บ:็|ก|ค:็:อ|ก|	b:a|d|c:o|c:k|
อ:อ|ก:ซ|ฟ|อ|ร:์|ด|	o|x|f|o|r|d|
ม|ิ|ท|ร|ี|	m|i|t|r|e|
อ:า|ร:์|ฟ|เ:ร|ด|โ|ซ|ไ:น|ต|์|	a|r|f|r|e|d|s:o|n|i:t|e|
เ:บ|ล|	b:a:i|l:l|
ฮ:็:อ|ก|ล|ี:ย:์|	h:o|c:k|l|e:y|
เ:ฮ|เ:บ|ิ:ล|	h|e:b:e|l|
ฟ|ร:ิ:เ|ด|ร|ิ|ก|	f|r:i|d:e|r|i|c|
แ:อ:็|บ|ซ|ั|ก|	a|b|z|u|g|
เ:จ:อ|ร:์|แ:ม|น|	g:e|r|m:a:i|n:e|
เ:ย|ล|ล|ิ:่:น|	y|e:l|l|i:n|
เ:ฮ|ท|ร|ิ:ก|	h|e:t|r|i:c:k|
แ:ท|ล|เ:ค:ิ|ต|	t|a:l|c:o|t:t|
บ:ี|ส|ส|ั|น|	b|i:s|s|o|n|
เ:อ|ด:ี|ท:ี|	a|d|t|
ว|อ|เ:ต:อ|ร:์|โ:ล|	w|a|t:e|r|l:o:w|
แ:ร:น|เ|ด|อ:ร:์|	r:a|n|d:e|r|
เ:พ|ล|ย:์|บ|อ|ย|	p|l:a|y|b|o|y|
ม:ี|เ:ค|ิ|ล|จ:อ|น|	m|e|i|k:l:e|j:o:h|n|
เ:ฮ|ท|	h|e:t:h|
พ|อ|ล|ล|ิ|ส|เ:ต:อ|ร:์|	p|a|l|l|i|s|t:e|r|
ร|อ|ซ|า|ล|ี|	r|o|s|a|l|i:e|
ล|ู|เ:อ|ล|ล|ิ|น|	l:l|e:w|e|l|l|y|n|
เ:ด|ค|า|ล|ิ|ต|ร|	d|e:c|a|l|i|t:e|r|
แ:บ|ไ:ร|ต|ส:์|	b:a:r|y|t:e|s|
ค|ั|ต|เ:ว:ิ|ร:์|ก|	c|u|t|w:o|r|k|
เ:ด:อ|ร:์|บ|ิ:้:น|	d:u|r|b|i:n|
ซ|อ|น|อ|ม:ิ:เ|ต|อ:ร:์|	s|o|n|o|m:e|t:e|r|
เ:พ:อ|เ:ร|ิ:่|ล|	p:e|r|a|l|
เ:ว|เ|จ|อ:ร:์|	w|a|g:e|r|
ม|ี|ล|ี|เ:อ:อ|	m|i|l|i:e|u|
ด:ิ|น|	d:e:a|n:e|
แ:พ|ช|	p|a:c:h|
แ:ล|น|โ:ด|	l|a:n|d:a:u|
อ:อ|ล|เ:ท:ิ|่:น|	a|l|t:e|n|
เ|บ|อ:ร:์|เ:น:ิ|ล|	b|e|r|n:a|l|
เ:ม:อ|ร:์|เ:ค:เ|ต|อ|ร:์|	m:e|r|c:a|t|o|r|
ค|อ|ม|ม|ู|น|	c|o|m|m|u|n:e|
จ:ี:เ|อ:็:น|เ:อ:ช|	g|n|h|
ท|ร|า|น|ส|ค|ร|ิ|ป|ต:์|	t|r|a|n|s|c|r|i|p|t|
อ:ิ|เ:ล:็|ก|ท|ร|อ|น|ิ|ก|	e|l:e|c|t|r|o|n|i|c|
ฮ|ิ|ก|ก|ิ|น|บ|อ|เ:ท|ิ:ม|	h|i|g|g|i|n|b|o|t|h:a:m|
โ:ร:เ|ว|อ:ร:์|	r:o|v|e:r|
อ:ั|น|เ:ด|ร|ส|	a|n|d|r:e|s:s|
ด|อ|ร|ิ|ส|	d|o|r|i|s|
ด:็:อ|บ|ส:์|	d:o|b:b|s|
ฮ:อ|เ:ล:อ|ร:์|	h:a:u|l:e|r|
เ:อ|เ:ซ:ิ|ล|	a|c:e|l|
ส|ต|ี|น|	s|t|e:e|n|
ฮ|ี|ล|ิ|โ|อ|โ:ท:ร|ป|	h|e|l|i|o|t|r:o|p:e|
เ:พ|อ:ร:์|เ:ด|ิ:้:น|	p|u:r|d|o:n|
เ:น|เ:ก:ิ|ล|	n|a:g|l:e|
ก|ล|า|ส|	g|l|a|s:s|
แ:ค|ล:เ:ล|ิ:น|	c:a:l|l:e|n|
อ:า|ร:์|เ:ล:ิ|น|	a|r|l:e|n|
ค|ิ|โ:น|	k:e|n|o|
แ:ค|ห:์:น|	c:a:h|n|
ก:ู|ล|ด|ิ:ง|	g:o:u|l|d|i:n:g|
อ|อ:ร:์|เ:ว:ิ|ล|	o|r|v:a|l|
ค|ี|	k|i:e|
ส:ต|ั:๊:ก|เ:ก:ิ|ล|ส:์|	s:t:r|u:g|g|l:e|s|
ร:ู|ส|เ:ซ|ล|	r:o:u|s|s|e:l|
อ:ิ|น|เ:ต:อ|ร:์|ฟ|ี|ร|อ|ม:ิ:เ|ต|อ:ร:์|	i|n|t:e|r|f|e|r|o|m:e|t:e|r|
ร|อ|เ|บ|อ:ร:์|ต|า|	r|o|b|e|r|t|a|
เ:พ:อ|ร:์|เ:ซ:ิ|น|	p:e|r|s:o|n|
อ|เ:ซ:็|น|ซ|ี:โ:อ|	a|s:e|n|c|i:o|
จ|ู|จ:ู:๊|บ|	j|u|j:u|b:e|
ล:อ|ร|ิ|ต:ส:์|	l:a:u|r|i|t:z|
เ:อ|เ:ล:ิ|ส|แ:ด|ร:์|	a|l:a|s|d:a:i|r|
เ:ค|เ:ร|ิ:น|	k:e:r|e|n|
ด:ิ:ว|ซ:ี:่|	d:u|z:y|
ว|ิ|ต|ต:์|เ:น:อ|ร:์|	w|i|t|t|n:e|r|
ไ:บ|เ:อ:อ|ร:์|ล:ี:่|	b|y:e|r|l:y|
ว|ิ|ต|เ:ซ:ิ|ล|	w|i|t|z:e|l|
ช|อ|ก|ท|อ:ว:์|	c:h|o|c|t|a:w|
เ:ด:อ|ร:์|ช|ั|ว|ว|ิ:ต|ซ:์|	d:e|r|s:h|o|w|i|t|z|
เ:ค|ป|ส:์|	c|a:p:e|s|
แ:ฮ|ก:า|ร:์|ต:ี:้|	h|a:g:a|r|t:y|
ร:ั:ท|เ:ท|อ:ร:์|เ:ฟ:ิ|ร:์|ด|	r:u|t:h:e|r|f:u|r|d|
ว:ิ|ต|ม|อ:ร:์|	w:h:i|t|m:o|r:e|
เ:ฮ|ต|ท|ิ|ช|	h|e:t|t|i|c:h|
แ:ร:็|ป|	r:a|p:p|
บ|ู|ล|า|ก|า|น|	b|u|l|a|c|a|n|
ร|ั|น:เ|ว|ย:์|	r|u|n|w:a|y|
โ:อ|ซ:ี:อ|า:ร:์|	o|c|r|
ค|ู|บ|ี|้|	k|u|b|i|e|
แ:ม:ก|ก|ร|อ:ว:์|-|ฮ|ิ|ล:ล:์|	m:c|g|r|a:w|-|h|i|l:l|
จ|ู|น|	j|u|n:e|
บ:ิ|ล|ส:์|	b:e:a|l|s|
ร|ู|ด:ี:เ|ก|อ:ร:์|	r|u:e|d|i:g|e:r|
ก:ั:ล|ล:ิ:่|ง|	g:a|l:i|n:g|
ฮ:า|ร:์|	h:a:a|r|
เ:ล|ป|เ:พ:ิ|ร:์|ต|	l|e:p|p:e|r|t|
ล:็:อ|ก|เ:ก:อ|ร:์|	l:o|c|k:e|r|
ซ|า|ช|ิ|ม|ิ|	s|a|s:h|i|m|i|
ม:ิ:ว|เ:ร|ี:ย|ล|	m:u|r|i|e:l|
แ:อ|ล|ั|น|	a|l|a|n|
แ:ก|ล|ด|ิ|ส|	g|l|a:d|y|s|
แ:อ|บ|ิ|เ:ก|ล|	a|b|i|g:a:i|l|
ค|อ|ล|แ:บ|ร|ต:์|	c|o|l|b|e:r|t|
ท|ิ|ฟ|ฟ|ิ|น|	t|i|f|f|i|n|
เ:บ:อ|ร|า:เ:อ|อ:ร:์|	b:e|r|a|r|
ว|ิ|เ|ล|อ|บ:ี:้|	w|i|l|l:o|u:g:h|b:y|
เ:ค|ล|ส|์|	k|e:l|c|e|
อ:อ|ล|ส:เ:ต|ิ:้:น|	a|l:l|s:t|o:n|
ส:แ:ต|น|เ|ว|ย:์|	s:t|a|n|w:a|y|
เ:อ|น|ล|ี:ย:์|	a|i:n|l|e:y|
แ:ฮ:็|ก|เ:ก:ิ|ร:์|ต|	h:a|g|g:a|r|t|
เ:พ|ก:ท|ิ|น|	p|e:c:t|i|n|
เ:บ|ร|ด|แ:ด:ล|เ|บ|ิ:่|น|	b|r:e|a|d:a|l|b|a|n:e|
ไ:ร|ส:์|เ:ม|ิ:่|น|	r:e:i|s|m|a|n|
ค|า|ร:์|โ:ก:้|	c|a|r|g:o|
แ:อ|ส|ไ:ซ|น:์|	a|s|s:i:g|n|
เ:อ|เ:ค|ิ:ล|	e|c:k:e|l|
เ:ม:ิ|ก|เ:ค:ิ|ล:เ:ล|ส|เ:ต:อ|ร:์|	m|c|a|l:e|s|t:e|r|
ว|ิ|ล|ล|ี:ย:์|	w|i|l|l|e:y|
ว:ิ|ต|เ:ว|ล|	w:h:i|t|w:e:l|l|
ช:อ|ง|-|บ|า|ต:ี|ส|ต:์|-:ก|า|ม|ี|ย:์|	j:e:a|n|-|b|a|p:t:i|s|t|e:-:c|a|m|i|l:l:e|
ด|อ|ง|ก|า|	d|o|n|g|a|
ท|ั|ล|	t|a|l|
บ|ร|า|ค|ิ|ส|โ:ท|โ|ค|ร|น|	b|r|a|c:h|i|s|t|o|c:h|r:o|n:e|
เ:ร:เ|ด|ี:ย:ม|	r:a|d:i|u:m|
เ:ล|เ:ว|อ:ร|ี:่|	l|a:v:e|r|y|
บ|ร|า|ม|ส:์|,|	b|r|a|h:m|s|,|
ด:ี|ค:ิ:ว|เ:อ|	d|q|a|
ฟ:ิ|ล|ิ|ป|ป|ิ|น|ส:์|	p:h:i|l|i|p|p|i|n:e|s|
เ:จ|ส|เ:ป:อ|ร:์|	j|e:s|p:e|r|
บ:ุ:ช|แ|ม|น|	b:u|s|h:m|a:n|
ฮ|ั|น|ต:์|ส|เ:ม|ิ:่|น|	h|u|n|t|s|m|a|n|
เ:ค:อ|ร:์|ล:ี|ย|	k:e|r|l|e:y|
ฟ|ั|ง:ก:์|ช:ั|น:น:ั|ล|	f|u|n:c|t:i:o|n:a|l|
แ:ม:ก|ค|ี|เ:ซ|ิ:น|	m:c|k|e|s:s:o|n|
จ|ี|โ:น|ไ|ท|ป|์|	g:e|n|o|t|y|p|e|
ฟ|า|ล|ั|ง|จ|ิ|ส|ต:์|	f|a|l|a|n|g|i|s|t|
อ|อ:ร:์|แ:ก|น|ด|ี|	o|r:g|a|n|d|y|
แ:ม:น|น|ว:ล|	m:a|n|u:a:l|
บ:ู|ว|ี:เ:อ|อ:ร:์|	b:o:u|v|i:e|r|
ค|ั|ต|ท:ิ:่|ง|	c|u|t|t:i|n:g|
ล|ี|,|	l|e:e|,|
ค|ร|ี|ต|	c|r|e|t:e|
ส:เ|ต|ฟ|า|น|	s|t:e|f|a|n|
ม:ี:เ|น|ต:้:า|	m:i|n:e|t:a|
โ:บ|โ:ช|เ|ล|	b:e:a|u:j:o|l|a:i:s|
พ|อ|ร:์|ท|า|ร:์|ล|ิ:ง|เ:ต|ิ:้:น|	p|o|r|t|a|r|l|i:n:g|t|o:n|
เ:ด|อ|ล|อ|ร|ิ:ส|	d|o|l|o|r:e|s|
ล|อ|ง|เ:ฮ:ิ|ร:์|ส|ต|	l|o|n:g|h:u|r|s|t|
เ:ด:อ|เ:ล|น|ี|	d|e:l:a|n:e|y|
เ:ย|ต|ส:์|,|	y:e:a|t|s|,|
ป|ร|า|ก|	p|r|a|g:u:e|
โ:ช|ก|ส:์|	c:h:o|k:e|s|
ย:ู:เ|อ:ิ|ล|	e:w|e|l:l|
แ:บ|ล|็|ต|น|ิ|ก|	b|l|a|t|n|i|k|
โ:ย|โ|ค|	y|o|k:o|
โ|พ|ส:เ:ต|ิ:้:น|	p|o|s:t|o:n|
ซ:ุ|ม|บ|า|	s:o:e|m|b|a|
บ:ี:เ|ก|อ:ร:์|เ:ต|ิ:้:น|	b:i|c:k|e:r|t|o:n|
เ:ก|ล|น:เ|ท|ร|ิ:น|	g|l:e|n|t:o|r:a|n|
แ:ช|น|ต:์|ส|	s:h:a|n|t|z|
ค|า|โ:ล:เ|ม|ล|	c|a|l:o|m:e|l|
เ:ซ|ร|ี|บ|ร|ั|ม|	c|e:r|e|b|r|u|m|
จ|ั|ส|ต|ิ|น|	j|u|s|t|i|n|
โ:ฮ|ล|ิ|ส:เ:ต|อ:ร:์|	h:o:u|l|i|s:t|o:n|
ม|า|ต|า|	m|a|t|a|
ด|ี|ท|อ|ก:ซ:์|	d|e|t|o|x|
บ|ุ|โ:ร|ช|ิ|	b|u|r:o:s|h|i|
ป|ุ|ร|ก|า|	p|u|r|g|a|
ล|ิ|น|เ:ก|ร|็|น|	l|i|n:d|g|r|e|n|
เ:ด:เ|พ|ร|ส|	d:e|p|r:e|z|
โ:ร|ด|ิ|เ|ซ:ี:ย|	r:h:o|d|e|s|i:a|
เ|บ|เ:ซ|อ:ร:์|	b|e|s:s:e|r|
ซ|ู|ล|ิ|ต|	s|u|l|i|t|
เ:น|โ:ท:ร|ไ:ล|ต|์|	n:a:t|r:o|l|i:t|e|
ร|า|อ|ุ|ล|ต:์|	r|a|o|u|l|t|
เ:ม:ิ|ก:เ:ค|ร|	m|c|r:a:e|
ว:ี|ล|ด:์|	w:e:a|l|d|
แ:จ:เ|น|ิ|ส|	j:a|n|a|s|
ร|ี:ฟ|ส:์|	r|i:v:e|s|
ฟ|ิ|น|ล|ี:ย:์|	f|i|n|l|e:y|
น|า|ก|ิ|บ|	n|a|g|i|b|
ค|า|ร:์|ด|ิ|น|ั|ล|	c|a|r|d|i|n|a|l|
เ:ม|ส|ม:อ|ร|์|	m|e:s|s:m:o|r|e|
โ:อ|ก|ล|า|โ:ฮ|ม:า|	o|k|l|a|h|o:m:a|
ไ:ล|ม|อ|ไ:น|ต|์|	l|i:m|o|n|i:t|e|
เ:อ:ิ|ร:์|ก|	e|r|g|
ด:ี|โ:ม|	d|e:m:o|
ม|ั|ส|ต|า|ร:์|ด|	m|u|s|t|a|r|d|
ช|็:อ:ก|ค|ี:ย:์|	s:h|o:c|k|e:y|
ฮ|ิ|น|ส|ั|น|	h|i|n|s|o|n|
ม|ั|น|เ:ด|ล|า|	m|a|n|d|e:l|a|
ร|อ|ล:ึ:ส|	r|a:w|l:s|
อ:อ|ต|โ:ต|ม|ั|น|	o|t:t|o|m|a|n|
ไ:ซ|ด:์|เ:ม:ิ|น|	s:e:i|d|m:a|n|
เ:ค|า|น|์:เ:ต|ส|	c|o:u|n|t:e|s:s|
แ:ล:็|ต|เ:ท:อ|ร:์|	l:a|t|t:e|r|
ไ:ม|โ|ค|ร|	m|i|c|r:o|
ฮ|อ|ฟ:ฟ:์|แ:ม|น|,|	h|o|f:f|m|a:n|,|
เ:พ|น|ไ:น|น|์|	p|e:n|n|i:n:e|s|
ก|ั|ส|ซ|ิ:ต|	g|u|s|s|e:t:t|
ม|ิ|ล|น:์|	m|i|l|n|
โ|ร|ม|ิ|เ:ง|อ:ร:์|	r|o|m|i|n:g:e|r|
ฟ:ิ|ล|บ|ร|ิ:ก|	p:h:i|l|b|r|i:c:k|
เ:ล|ก|ี:่|	l|a:k:e|y|
เ:ฮ|ก|โ|ต|ล|ิ|ต:ร|	h|e|c|t|o:l|i|t:r:e|
ก|อ|โ:ช|	g|o|s:h:o|
เ:ค|อ:ร:์|เ:ซ|อ|ร:์|	c|u:r|s|o|r|
แ:อ|ก|เ:น|ส|	a|g|n|e:s|
ต|อ|ร:์|ป|ิ:โ:ด|	t|o|r|p:e|d:o|
แ:ท|ช|ี:โ:ร|้|	t:a:s|c:h|e:r|e:a:u|
เ:จ:ิ|น|น|า|ต|้:า|	j:a|n|n|o|t:t|a|
ส|ต|า|ร:์|ก|	s|t|a|r|k:e|
แ:อ|ส|ต|ร:้:า|	a|s|t|r:a|
ล:ู|อ:ั|น|	l:u:h|a|n|
ส|แ|ต:เ:ต|ิ:้:น|	s:t|a|t|o:n|
เ:ท|ส|ซ|า|	t|e:s|s|a|
แ:บ|ร|น:น:ิ|เ:ก:ิ|น|	b|r:a|n:i|g:a|n|
ช|ี|น|,|	s:h|e:e|n|,|
เ|ร|ย:์|เ:น:อ|ร:์|	r|a|y|n:e|r|
ว|ิ|น|เ:ต:อ|ร:์|	w|i|n|t:e|r|
ต|ิ|เ:น|ี:ย|น|	t|i|n|i|a:n|
ค:อ|ฟ|เ:ม:ิ|น|น:์|	k:a:u|f|m:a|n|n|
ค|อ|ม|อ:ิ:น|	c|o|m|y:n|
ว|ิ|ล|เ:ย|ิ:ม|เ:ซ:ิ|น|	w|i|l|l:i:a|m|s:o|n|
ค|ร:ิ|โ:ซ|ไ:ล|ต|์|	c:h|r|y:s:o|l|i:t|e|
อ:ี|อ:ี|พ|ร:็:อ|ม|	e|e|p|r:o|m|
เ:พ:อ|ร:์|เ:อ|ร:า|	p:e|r|e|i:r:a|
ฮ|อ|ฟ|เ:ฟ:อ|ร:์|	h|o|f|f:e|r|
เ:บ:ี|ย|ง|ก:้:า|	b:i|a|n|c:a|
เ:ว|น|เ:ต:ิ|ร:์|ส|	v|e:n|t|r|e:s|
เ:บ:เ|ท:ิ|ล|	b:e|t:h:e|l:l|
ร:ี|ด:ี:้|	r:e:i|d:y|
แ:ค:็|ส:ก:์|	k:a|s:k|
บ|ี|ช|ิ:่|ง|	b|e:e|c:h|i|n:g|
ค:า|โ:ด|แ:ก|น|	c|a:d:o|g|a:n|
ร:ู|ป|	r:o:o|p|
ค|อ|ล|ล:ี:่|	c|o|l|l:y|
ค:ี|ว|า|ต|ิ|น|	k:e:e|w|a|t|i|n|
เ:อ|ง:เ:ง|ิ:่:น|	e|n:g|e:n|
แ|ก|ร:่:า|	g|a|r:a|
แ:ท:เ|ท|ิ:่|ม|	t:a|t:h|a|m|
ท|อ|ท|เ:ซ:ิ|่:น|	t:h|o|m|s:e|n|
ฮ|า|ร:์:ด|โ|ก|ร|ฟ|	h|a|r|d|g|r:o|v:e|
ไ|ท|ส|์|เ:ฮ:ิ|ร:์|ส|ต|	t|i|c|e|h:u|r|s|t|
ส|ต|อ|ฟ|	s|t|o|u:g:h|
แ:ซ|น:เ:ด|อ:ร:์|	z:a:n|d:e|r|
เ:ค|ล|เ:บ:ิ|ร:์|น|	c|l:a:i|b:o|r|n:e|
บ|ิ|ส|เ:ค|ค|	b|i|s|h:k:e|k|
เ:ท:ิ|ร|น:์|บ|ุ|ล:ล:์|,|	t:u|r|n|b|u|l:l|,|
จ:ั:๊|ง|	j:u|n:k|
ส:เ|ป|ย:์|	s|p:e|y|
ค|ี:ย:์|บ:อ|ร:์|ด|	k|e:y|b:o:a|r|d|
อ:ะ|น|า|ล|ไ:ซ|ม|์|	a|n|a|l|c|i:m|e|
ส|ก|ั|ล|โ:ซ:่|	s|c|a|l|z:o|
แ:บ:เ|ท|อ|	b:a|t:h|o|
เ:ล|า|	l|a:u|
แ:ก:็|บ|	g:a|b:b|
ม|อ|ส|ั|น|	m|a:w|s|o|n|
ฟ|ร|ิ|ด|	f|r|i:e|d:e|
ไ|ล|ย:์|เ:ล:ิ|น|ด:์|	l|e|y|l:a|n|d|
เ:ซ|า|เ:ท|อ:ร:์|น|	s|o:u|t:h:e|r|n|
เ:ก|ว|น|เ:ด|อ|ล|ิ|น|	g|w|e:n|d|o|l|y|n|
เ:ฮ|ย|์|เ:ด:ิ|น|	h|a|y|d:o|n|
โ:ล|ต|เ:น:อ|ร:์|	l:a:u|t|n:e|r|
เ:ค|น|เ:ด|ิ:้:น|	k|e:n|d|o:n|
ส|ม|า|ร:์|ก|	s|m|a|r|k|
เ:ค|จ|,|	c|a:g:e|,|
บ|า|ร:์|น|ส|เ:ต:็|ด|	b|a|r|n|s|t:e|a:d|
เ:ซ|ล|์:ฟ|ฮ:ี|ล|	s|e:l|f|-:h:e|a:l|
ก:็:อ|ก|,|	g:o|g:h|,|
เ:ล|เ|ว|ี|่:ย:น|	l|e|v|i|e:n|
ก|ล|อ|ส|เ:ต:อ|ร:์|	g|l:o|u:c:e|s|t:e|r|
ก|า|บ|อ|ง|	g|a|b|o|n|
เ:ค:เ|ป|ิ:้:น|	c:a|p:e|n|
ก|า|ร:์|เ|ซ:ี:ย|	g|a|r|c|i:a|
เ:ก|ล|ส|บ|ร:ู|๊:ก|	g|l:a|z:e|b|r:o:o|k|
แ:อ|ป|ส|์|	a|p|s|e|
ว|ิ|น|ิ|ก|า|ร:์|	v|i|n|e|g|a|r|
ฮ|อ|ล|ล:ิ:่|ง:เ:ง|อ:ร:์|	h|o|l|l:i|n:g|e:r|
ด|ั:ม|	d|u:m:m|
แ:พ|ส|ท|ิ:ล|ล:์|	p|a:s|t|i|l:l:e|
ก:็:อ|ต|เ:ช|ิ:ก|	g:o|t:t|s:c:h|a:l:k|
เ:ร|น|โ|ด:น|	r|e:n|d:o|n|
โ:อ:เ|ล|ี:ย|ร:ี:่|	o|l:e|a|r:y|
แ:จ|ต|	j:a:g|t|
เ:ว|ล|เ:ม|ิ:่|น|	w:e:l|l|m|a|n|
บ|า|ร:์|เ:ร|ล|	b|a|r|r|e:l|
แ:ด:ล|เ|ม|เ:ช|ี:ย|น|	d:a|l|m:a|t|i|a:n|
โ:อ|แ:ซ|น|	o|z:a:n|n:e|
แ:บ|ต|	b|a:t|
บ|ิ|ส|ม|ั:ท|	b|i|s|m|u:t:h|
ค|อ|ม|ม:ิ:ว|น:ิ:เ|ค|ช:ั|น|	c|o|m|m:u|n:i|c:a|t:i:o|n|
แ:ซ|น|ท|ร:ี:่|	s|a:n|t|r:y|
เ:ร|อ|บ|ิ|น|ส:์|	r|a|b|i|n|s|
แ:ค:น|เ|ฮ|ิ|ม|	c:a|n|h|a|m|
แ:จ:็|ก|เ:ม:ิ|น|	j:a|c:k|m:a|n|
ซ|ั|ฟ|ฟ|ร|า|เ:ก:ิ|้:น|	s|u|f|f|r|a|g:a|n|
แ:ซ|น|ด|ส:์|	s|a:n|d|s|
จ|ี:โ:อ|โ:ฟ|น|	g|e:o|p:h:o|n:e|
ว|อ|ล|ต|ั|น|,|	w|a|l|t|o|n|,|
ล:า:ว|เ:อ:อ|ร:ี:่|	l:o|w:e|r:y|
โ|ด|น:เ:ด|โ:ร:่|	d:o|n|d:e|r:o|
ไ:อ|ก:์|เ:ฮ:ิ|ร:์|น|	e|i:c:h|h:o|r|n|
น|ิ|ส|ล|ี:ย:์|	n|i|s|l|e:y|
ช:ิ|ค|า|โ|ก|	c:h:i|c|a|g|o|
เ:อ|ม|ิ:ต|	e|m|m:e:t|
แ:ท:็|ก|ไ:ท|ต|์|	t:a|c:t|i|t|e|
บ|ร|ิ|ด|จ|ิ|ต|	b|r|i|d|g|i|t|
ม|ิ|เ:ล:ี|่:ย:น|	m|i|l:i|a:n|
ม|ิ|ล|ส|ไ:ต|น:์|	m|i|l|s|t:e:i|n|
เ:บ:เ|ซ|ิ:่|น|	b:a|z|a|n|
ล|ี:เ:อ|เ:ม|อ|เ:ท:เ|น|ิ:่:น|	l|i:i|m|a|t:a|i:n:e|n|
แ:จ|ร:์:เ|ร|ิ:ร:์|ด|	g|e:r|r|a:r|d|
พ|ั|ล|โ:ท:ร|ว:์|,|	p|a|l:t|r:o|w|,|
ฮ|ั:ก|ส:์|	h|u:c:k|s|
เ:ท|ก|ไ|ท|ต|์|	t|e|k|t|i:t|e|
พ|า|ร:์:เ|ท|ิ:้:น|	p|a|r|t:e|n|
บ|อ|ม|เ:ฟ:ิ|ร:์|ด|	b|o|m|f:o|r|d|
ช|ิ:ฟ|เ:ฟ:อ|ร:์|	s:h|e:a:f|f:e|r|
โ:ร|เ:ด:ี|ย|ม|	r:h:o|d:i|u|m|
พ|า|ร|า|โ:ร|ซ:า|น|ิ|ล|ี:น|	p|a|r|a|r:o:s|a|n|i|l|i:n:e|
โ:น|ต:ิ|ส|	n:o:t|i|c:e|
ไ|ซ|โ:ก|ต|	z|y|g:o:t|e|
อ:า|ร:์|ล:ิ:่|ง|	a|r|l:i|n:g|
เ:ฮ|เ|ท|อ:โ:ร|ล|ิ|ต|ิ|ก|	h|e|t:e|r:o|l|y|t|i|c|
อ|อ:โ:ต|	a:u|t:o|
โ:ซ|น|ี:่|	s|o:n|i|
ส|ต|า|ร:์|ต:เ:ต|อ:ร:์|	s|t|a|r|t:e|r|
แ:ฮ|ร|์:ร:ิ|ส|ส|ั|น|	h|a:r|r:i|s|s|o|n|
แ:ว|ร:์:เ|ร|ิ|ล|	v:e:r|r|a|l|l|
ฮ:็:อ|ด|ค:ิ|น|ส:์|	h:o|d|g:k:i|n|s|
ท:ั:ฟ|เ:ว|ล|	t:a|v|e:l|
ส:โ:ต|น|	s:t|o:n:e|
โ:ร|เ:ซ|ต|ต|ี|,|	r:o:s|s|e:t|t|i|,|
ซ|ิ|ฟ:ิ|ล|ิ|ส|	s|y|p:h:i|l|i|s|
เ:ม|ิ:่|ท|ไ:ท|เ:อ:ิ|ส|	m|a|t|t:h:i|a|s|
เ:อ:็|ด|ว|ี|น:่:า|	e|d|w|i|n:a|
เ:พ:ิ|ร:์|ช|	p:u|r|s:h|
ไ:ฮ|ม:์|บ|ั:ก|	h:e:i|m|b|a:c:h|
อ:ี|พ|ึ|ส|	e|p|e|s|
แ:ก|ด|ส:์|บ:ี:้|	g|a:d|s|b:y|
เ:ค|น|น|ิ|่:ง|เ|ต|ิ:้:น|	k|e:n|n|i|n|g|t|o:n|
ก|า|ร:์|เ:ท:ิ|่:น|	g|a|r|t:e|n|
ฮ|ิ|ล|เ:ค:อ|ร:์|	h|i|l|k:e|r|
บ|ั:น|	b|u:n:n|
โ:ฟ|ร:์|อ|า|ย|	f|o:u:r|-|e|y:e|
เ:อ:ช|เ:อ|พ:ี|	h|a|p|
ไ:ร:อ|ั|น|,|	r:y|a|n|,|
