ה|ו|ל|מ|ז|	h|o|l|m:e|s|
ק|ר|י|ס|ט|י|א|ן|	c:h|r|i|s|t|i|a|a:n|
ק|ו|מ|א|י|	k|u|m|a|i|
ד|י|ב|	d|i|b|
ה|ו|ל|א|ג|ו|	h|u|l|a|g|u|
מ|י|ק|ו|ל|א|ס|	m|i|k|u|l|a|s|
א|ל|מ|ו|נ|י|א|	a|l|m|u|n|i|a|
ק|א|נ|ס|ו|	q|a|n|s|o|
ו|ר|ט|א|נ|י|	o:u|e:r|t|a|n|i|
ה|ו|ל|ג|ו|י|ן|	h|o|l|g|u|i|n|
ו|י|ס|י|ל|י|נ|ו|ב|י:ט:ש|	v|e|s|e|l|i|n|o|v|i:c|
ת|א|צ:':י|	t:h|a|c:i|
מ:ו|ס|א|	m:o:u|s:s|a|
ג:':י|ו|נ|ג|ה|ו|י|	j:e|o|n|g|h|u|i|
מ|ו|מ:ס|ן|	m|o|m:m:s|e:n|
מ|צ|ה|	m:a|t:z|a|
ו|א|ר|נ|ר|	w|a|r|n|e:r|
מ|א|ס|א|	m|a|s:s|a|
י|ו|מ|י|	y|o|m|i|
ט|א|ק|א|ש:י|	t|a|k|a|s:h:i|
פ|א|ר|ו|ק|	f|a|r|u|k|
ל|י|א|	l|i|a|
מ|ו|נ|ר|ו|	m|u|n|r|o|
נ|י|ו|ט|א|ו|ן|	n|e|w|t|o|w|n|
ג:':א|ר|ו|	j:a|r:r:e|a:u|
ד|ק|ל|ן|	d:e|c|l|a:n|
נ|י|י|ס|מ|י|ת|	n|a|i|s|m|i|t:h|
ס|ט|ו|ק|ר|	s|t|o|k|e:r|
מ|א|נ|ה|א|י|ם|	m|a|n:n|h|e|i|m|
ט|א|ר|י|ן|	t|a|r|y|n|
מ|א|ל|כ|א|ז|	m|a|l|k:h|a|z|
ס|י|מ|א|ס|	s|i|m|a|s|
ז:'|י:נ|י|ו|	z:h:e|n|y|u|
ט|ו|ר|ו|	t|o|r|o|
ד|ו|ב|א|ל|	d|u|v|a|l:l|
ה|י|צ|פ|י|ל|ד|	h|i|t:z|f|e|l|d|
ר|ש|י|ד|	r:a|s:h|e|e:d|
ז|ו|ל|א|ק:ו|	z|e:w|l|a|k:o:w|
ה|י|ר|ו|ש:י|ג|ה|	h|i|r|o|s:h:i|g|e|
ס|א|נ|ג|ר|	s|a|n|g|e:r|
ל|י|ב|ר|ו|ן|	l|e|b|r|o|n|
ס|ר|נ|א|	s|r|n|a|
ו|א|ס|י|ל|	v|a|s:s|e|l:l|
ד|ר|ב|י|	d|e:r|b|y|
ג|מ|ל|י|א|ל|	g:a|m|l|i|e|l|
ס:ח|א|ב|	s:a:h|a|b|
ו|י|נ|ר|	w|i:e|n|e:r|
ק|ו|פ|י|	k|o|f|i|
מ|א|ר|י|ל|א|נ|ד|	m|a|r|y|l|a|n|d|
ש|ו|א|ר|צ|מ|א|ן|	s:c:h|w|a|r|t:z|m|a|n:n|
א|ר|ש|א|ב|י|ן|	a|r|s:h|a|v|i|n|
ס|ו|ל|י|מ|א|ן|	s|o:u|l:e|y|m|a|n:e|
ד|ו|ל|ב|י|ק:ו|	d|u|l|b|e|c:c:o|
א|ד|ן|	a|d|a:n|
א|ל|ק:ס|נ|ד|ר|ו|	a|l:e|x|a:n|d|r|u|
ר|י|נ|א|ל|ד|ו|	r:e|i|n|a|l|d|o|
ק|ו|ד|א|	k|o|d|a|
ד|י|ק|ר|	d|e|c:k|e:r|
ד|א|ל|מ|א|ט|	d|a|l|m|a|t|
נ|י|ק|ו|ל|א|ו|ס|	n|i|k|o|l|a|o|s|
מ|י|ר|א|נ|ד|א|	m|i|r|a|n|d|a|
ס|א|ר|א|	s|a|r|a|
ג|י|ל|ב|ר|ט|ו|	g|i|l|b|e:r|t|o|
ח|ו|א|ן|	j|u|a|n|
ה|י|ל|ב|ר|ט|	h|i|l|b|e:r|t|
ג|ר|א|ה|א|ם|	g|r|a|h|a|m|
ט|ר|א|ב|ז|ו|ן|	t|r|a|b|z|o|n|
ג|ז|א|	g:e|z|a|
ה|י|ר|א|ק|ל|י|ס|	h|e|r|a|c|l|e|s|
ל|ו|ק|ו|	l|o|c|o|
ב|ה|ג:':א|	b:a|h|j:a|
ס|י|א|ט|ל|	s|e|a|t:t|l:e|
ב|י|ש|ר|	b|e|c:h|e:r|
ד|ו|ל|י|נ|ס|ק|י|	d|o|l|i|n|s|k|y|
ב:י|ד|ל|	b:e:a|d|l:e|
ק|י|נ:י|א|ר|	k|i|n:n:e|a|r|
ל|י|כ|ט|ס|ט|י|י|נ|ר|	l|i|c:h|t|s|t|e|i|n|e:r|
ח|א|מ|ט|א|י|	k:h|a|m|t|a|i|
ג:ו|ד|י|ס|ו|ן|	g:o:o|d|i|s|o|n|
ט|ו|ג:'|י|	t|u|g|c:e|
ד|ר|ס|ד|ן|	d|r:e|s|d:e|n|
ד|י|ד|י|ק|י|נ|ד|	d|e|d|e|k|i|n|d|
ד|י|ק|נ|ז|	d|i|c:k|e:n|s|
ו|א:י|נ|ה:א|ו|ס|	w|i|n:e|h|o:u|s:e|
א:י|ב|י|ר|י|א|	i|b|e|r|i|a|
ס|א|ר|ו|כ|א|ן|	s|a|r|u|k:h|a|n|
ס|מ|י|ת|	s|m|i|t:h|
ד|ו|ר|י|ן|	d|o|r|i|n|
א|פ|ר|י|ק|א|נ|ר|	a|f|r|i|k|a|n|e:r|
פ:ר|מ|א|ן|	f:i:r|m|a|n|
ס|י|פ|י|	s|e|p:p|i|
ה|ו|ל|ז|נ|ב|א|י|ן|	h|o|l|z|e:n|b|e|i|n|
ק|ר|ו|ג|ר|	k|r|u:e|g|e:r|
ט|ו|ר|ס|ט|ן|	t|o|r|s|t|e:n|
ו|י|צ:':י|נ|י|	v|i|c:i|n|i|
מ|י|נ|א|ר|	m|i|n|a|r|
מ|א|ר|ט|י|נ|י|ל|י|	m|a|r|t|i|n|e|l:l|i|
ר|ג:'|ו|ס|ק|י|	r:e|j|e:w|s|k|i|
ב|י|ר|ג|	b|e|r|g|
ש|א|ד|י|	s:h|a|d|y|
פ|ו|ר|ס|ל|	p|o:u|r|c:e|l|
ג:'|ו|ה|ו|	j|o:u|h:a|u:x|
מ|ו|ט|ע|ב|	m|o|t:e|a|b|
מ|ו|ט|ה|ר|י|	m|o|t:a:h|h:a|r|i|
ר|ו|ב|ן|	r|u|b:e|n|
פ|ר|נ:ס|י|ס|ק|ן|	f|r|a:n:c|i|s|c|a:n|
ב|ט|י|נ|ו|	b:e|t:t|i|n|o|
ה|י|ו|נ|ד|א|י|	h|y|u|n|d|a|i|
י|ו|א|נ:י|ס|	i|o|a|n:n:i|s|
ב|ר|נ|א|ל|	b|e:r|n|a|l|
ב|ו|ר|ל|א|	b|u|r|l|a|
ש|י|ב|י|נ|י|נ|ג|ן|	s:c:h|e|v|e|n|i|n|g|e:n|
ו:ר|ת|י|נ|ג|ט:ן|	w:o:r|t:h|i|n|g|t:o:n|
נ|א|ז|ם|	n|a|z:e|m|
ב|ו|י|ט|ן|	b|u|y|t|e:n|
ב|א|ר|ו|ט|י|	b|a|r|o|t|i|
ג:':א|ס|ט|י|ן|	j:u|s|t|i|n:e|
נ|ו|ר|ה|א|ל|י|ז|ה|	n|u|r|h|a|l|i|z|a|
ב|א|י|ו|מ|י|	b|a|y|o:u|m|i|
ר|י|ג|ו|ב|י|ר|ט|א|	r|i|g|o|b|e|r|t|a|
פ:ו|נ|י|נ|י|	f:o:g|n|i|n|i|
ג|ו|נ:א|ר|	g|u|n:n:a|r|
ק|י|ר|ק|י|ל|א|ס|	k|i|r|k|i|l|a|s|
ט|א|נ|ק|י|א|ן|	t|a|n|k|i|a|n|
פ|א|ס|א|ר|י|ל|א|	p|a|s:s|a|r|e|l:l|a|
ה|א|מ|י|נ|ו|	h|a|m|i|n|u|
א|ל|ס|נ|ה|ו|ר|י|	e|l|s:a|n|h|u|r|i|
ב|י|ו|ר|ק|מ|א|ן|	b|j|o|r|k|m|a|n|
נ|ו|מ|א|	n|u|m|a|
ק|א|י|ס|ו|ן|	k|a|y|s|o|n:e|
ו|י|י|ר|י|	v|i|e|r|i|
מ|ו|ר:י|ס|ו|ן|	m|o|r:r:i|s|o|n|
ל|י|נ|ו|ק:ס|	l|i|n|u|x|
ב|ו|ק:א|י|	b|u|c:a:i|l:l:e|
ט|ו|ר|ק|ו|א|ט|ו|	t|o|r|q|u|a|t|o|
פ|ר|י|ד|ג:':ו|ף|	f|r|i|d:t|j:o|f|
ב:ו|ר|ד|י|ו|	b:o:u|r|d|i:e|u|
ו|ל|א|ס|ו|ב|	v|l|a|s|o|v|
א:ו|ר|ט|י|ג|א|	o|r|t|e|g|a|
ש|י:י:פ|ל|י|	s:h|a:p|l:e|y|
א:י|ג:':א|ק:ס|	a|j:a|x|
פ|י|ו|ט|ר|	p|y|o|t|r|
ק|נ|ו|ט|	k|n|u|t|
ה|י|ג|ל|	h|e|g|e:l|
ש|פ|ר|	s:h|e:f:e|r|
מ|ו|ר|י|ס|י|ו|	m:a|u|r|i|c|i|o|
ש|ו|י|ק|א|ר|	s:h|w|i|k|a|r|
נ|ס|ר|א|ל|ל|ה|	n:a|s|r|a|l|l|a:h|
ט|ו|ר|י|ו|מ|י|	t|o|r|i|u|m|i|
ס|ז|ו|ק|	s|z|o|k:e|
מ|ו|ס|ט|ג|א|נ|מ|י|	m|o|s|t:e|g:h|a|n:e|m|i|
פ:ו|ג:':י|א|	f:o:g|g:i|a|
ב|ר|ו|נ|ר|	b|r|u|n:n|e:r|
ט|א|נ|ג:':ו|	t|a|n|j:u|
נ|ס|י|ם|	n:e|s:s|i|m|
ד|י|א|מ|ו|נ|ד|	d|i|a|m|o|n|d|
ז|י|ל|ע|	z:e|i|l|a|
ט|א|י|מ|א|	t|a|y|m|a|
פ|י|ר|א|ס|	f|i|r|a|s|
ב|י|א|ג:':י|ו|	b|i|a:g|g:i|o|
ק|ל|י|ב|ר|	c|l|e|b|e:r|
ה|ר|ץ|	h:e|r|t:z|
ד|י|ר|ו|א|ל|	d|e|r|w|a|l:l|
ב|ר|י|ס|	b|r|e|s:s:e|
ס|ט|א|נ|י|ס|ל:ו|	s|t|a|n|i|s|l:a:w|
ל|א|ר:י|	l|a|r:r:y|
א:ו|ס|ל|ו|	o|s|l|o|
ב|ו|ד|י|	b|u|d|i|
ו|ו|י|ס|י|ט:ש|	w|o|j|c|i|e:c:h|
ק|ט|ן|	k:a|t|a:n|
ה|י:ו|ס|ט:ן|	h|u|s|t:o:n|
ס|ק|ו|ט|י|	s|c|o|t:t|y|
נ|י|מ|א|ן|	n:e|e|m|a|n|
מ|ש|ע|ל|	m:a|s:h|a|l|
ס|נ|א:י|ד|ר|	s|n|y|d|e:r|
נ|י|ס|א|ן|	n|i|s:s|a|n|
ס|ו|א|ר|י|ז|	s|u|a|r|e|z|
ר|א|מ|י|ר|י|ז|	r|a|m|i|r|e|z|
ס|מ|א:ש|	s|m|u:s:h|
ד|י|י|	d|a|e|
ב|ר|א|נ:ט|	b|r|a|n:d:t|
ד|א|נ|א|	d|a|n|a|
ו|א|ט|ו|	w|a|t:t|e:a:u|
ק|ו|ל|ו|מ|ב|י|א|	c|o|l|u|m|b|i|a|
מ|י|ט|ש|	m|i|t|c:h|
ל|ו|י|ז|י|א|נ|א|	l|o:u|i|s|i|a|n|a|
ז:י:י|ט|ו|נ|י|	z:i|t|o:u|n|i|
א|נ|פ|י|ל|ד|	e|n|f|i|e:l|d|
ט:י|ש|ו|	t:e:s|s:h|o|
ה|ל|נ|א|	h:e|l:e|n|a|
פ|א|ט|י|נ|ס|ו|ן|	p|a|t:t|i|n|s|o|n|
ג:':א|ק|א|ר|	j:a|c:q:u|a|r:d|
ק:ו|מ|א|ל|ו|	k:h:u|m|a|l|o|
ר|ב|י|ץ|	r|a:v|i|t:z|
מ|א|ר:י|נ|ר|	m|a|r:r:i|n|e:r|
מ|י|ל|א|ר|ד|	m|i|l:l|a|r|d|
ק|י|ל|פ|ן|	k|i|l|p|i:n|
ס|ו:ו|ן|	s|v|e:n|
ר|י|ו|ג:':י|	r|y|u|j:i|
ר|א|י|נ|ה|א|ר|ט|	r|e|i|n|h|a|r:d|t|
א|נ|ט|ב:ה|	e|n|t:e|b:b:e|
ז|ב|ו|ל|ו|ן|	z|e:v|u|l|u|n|
נ|א|י|ר|ו|ב|י|	n|a|i|r|o|b|i|
ד|י|י|	d|a|y|
ו|א|ר|ן|	w|a|r:r:e|n|
ו|ל|י|מ|י|ר|	v:e|l|i|m|i|r|
ס|ט|ר|א|ב|י|נ|ס|ק|י|	s|t|r|a|v|i|n|s|k|y|
ס|ל:י|מ|א|ן|	s:u|l:a:y|m|a|n|
ד|א|ל|מ:י:י|ש:א|	d|a|l|m:a|t:i:a|
פ|ו|א|נ|ק|א|ר|ה|	p|o|i|n|c|a|r|e|
ס|ק|א|ל|א|	s|c|a|l|a|
ו|י|ט:ס:ט|ש|ג|	w|i|t|s:c:h|g:e|
ד|ו|ק:ס|	d|o|c:k:x|
ק|נ|ט|א|ר|י|א|	k:a|n|t|a|r|i|a|
ק|א|ר|ד|י|ל|י|	c|a|r|d|i|l:l|i|
ה|א|מ:י|ט|	h|a|m:m:e|t:t|
ס|פ|י|ר|י|ד|ו|ן|	s|p|y|r|i|d|o|n|
ז|י|א|ד|	z|i|a|d|
ד|ו|ר|א|	d|o|r|a|
מ|י|ר|ק|ל|	m|e|r|k|e:l|
ע|ל|י|י|ב|	a|l|i|y|e:v|
ב|י|ר|ן|	b|y|r|n:e|
ו|י|ל|י|א|מ|ס|	w|i|l:l|i|a|m|s|
ג:'|ו|ל|י|א|נ|י|	g|i:u|l|i|a|n|i|
פ|א|ס|ו|ל|ק|ו|	p|a|s|u|l|k|o|
ר|ו|י|ט|ר|	r|u|i|t|e:r|
ל|א|ד|א|	l|a|d|a|
ה|ל|מ|ו|ט|	h:e|l|m|u|t|
מ|נ|ד|ו|ז|א|	m:e|n|d|o|z|a|
ב|ל|ק|ו|ל|ה|	b:e|l|q|o|l|a|
נ|פ:א:ע|	n:a|f:a|
ו|א|ל|ו|ו|ר|ת|	w|a|l|w|o|r|t:h|
ר|י|ו|ק|ו|	r|y|o|k|o|
נ|ו|ר|מ|א|ן|	n|o|r|m|a|n|
ל|ו|ס|א|ק|א|	l|u|s|a|k|a|
מ|ר|י|	m:u|r|r:a:y|
ז|ו|נ|ד|ר:ב:א|ן|	z|o|n|d:e|r:v|a:n|
ק|א|ק|ו|י|י|	k|a|k|u|e|i|
פ|ו|ם|	p|o|o:m|
מ|י|ל|י|ב|א|	m|i|l|e|v|a|
ע:מ|נ|ו|א|ל|	e:m:a|n|u|e|l|
ש:י|ק|י|ב|ו|	s:h:i|k|i|b|u|
ע|ר|י|ף|	a|r|i|e:f|
ח|י|ד|ר|	h:a|i|d|e:r|
ר|ו|ד|ב|א|ר|י|א|ן|	r|o:u|d|b|a|r|i|a|n|
ג:'|פ:ר|י|	j:e:f|f:r:e|y|
ר|א:ש|	r|u:s:h|
ג:':ו|נ|ב|ל|א|ט|	j:u|m|b|l|a|t:t|
ג|י|מ:י|	g|i|m:m:e|
ק|נ|ז|א|ב|ו|ר|ו|	k:e|n|z|a|b|u|r|o|
פ|ד|ר|ר|	f:e|d|e:r|e:r|
ה|א|ר|ל|ס|ו|ן|	h|a|r:r:e|l|s|o|n|
ק|ו|ג|א|	k|o|g|a|
ל|י|ד|י|א|	l|y|d|i|a|
א:ו|ג|ו|ג|ו|	o|g|o|g|o|
ס:ל|י|ב|ו|	s:l:j|i|v|o|
ד|ו|נ|ר|	d|o|n:n|e:r|
א:י|י|ז|נ|ר|	e|i|s|n|e:r|
ב|א|ו|ד|ר|י|ל|א|ר|ד|	b|a|u|d|r|i|l:l|a|r|d|
ע|נ:א|ב|י|	a|n:n:a|b|i|
פ|י|י|נ|ט|ו|ן|	p|a|i|n|t|o|n|
ו:ו|ל|י|	w:o:o|l:l:e|y|
ת:ק|ו|ה|	t:i:k|v|a|
ט|א|ב|י|	t|a|b|i|
ה|י|ל|י|נ|ג|ד|ו|ן|	h|i|l:l|i|n|g|d|o|n|
ב|י|ר|י|נ|ג|	b|e|r|i|n|g|
פ|י|ר|	p|i|r:e|
ל:ו|ק:ס|	l:u:y|c:k:x|
ט|ר|א|ו|ר|י|	t|r|a|o|r|e|
א|ל|ב|ר|א|ד|ע:י|	e|l|b:a|r|a|d:e|i|
ס|א|נ|ד|ל|	s|u|n|d:e|l:l|
ס|פ|ו|מ|א|ט|ו|	s|f|u|m|a|t|o|
ב|י|ר|נ|ב|א|ו|ם|	b|i|r|n|b|a|u|m|
א|ג|ו|י|ל|א|ר|	a|g|u|i|l|a|r|
פ|פ|י|ן|	p:e|p|i|n|
א|פ|ו|ל|י|נ|א|ר|י|ס|	a|p|o|l:l|i|n|a|r|i|s|
ו|א|נ|א|ה|י|מ|ר|	v|a|n|a|h:e|i|m|r|
ו|א|ל|	v|a|l|
י|ו|ג|ו|ס|ל|א|ב|י|א|	y|u|g|o|s|l|a|v|i|a|
ק|א|נ|ו|ט|י|	k|a|n|o:u|t|e|
ד|ו|ד|ק|א|	d|u|d|k|a|
א:י|ר|א|ו|ל|א|	i|r|a|o|l|a|
ט|ו:מ|א|ס|	t|h:o:m|a|s|
ד|א|ר|ו|י|	d|a|r|u|i|
ג:':ו|ל|י|	j:u|l|i:e|
ז|ו|ר|ן|	z|u|r|n|
ו|א|ל|י|נ|ט|י|א|	v|a|l|e|n|t|i|a|
מ|ש|ו|ל|ם|	m:e|s:h|u|l|a:m|
נ:ו|ו|ל|ז|	k:n:o|w|l|e:s|
נ|י|ק|י|ל|ב|ק|	n|i|c:k|e|l|b:a|c:k|
מ|י|ר|ו|ן|	m|i|r|o|n|
ב|א|ד|ר|	b|a|d|e:r|
ס|י|פ|ו|ס|	s|i|p|o|s|
ג|ו|ר|א|ן|	g|o|r|a|n|
ו:י:י|ל|	v:a|l:e|
ג|א|נ|ג:'|ז|	g|a|n|g|e:s|
ב|א|ט|א|	b|a|t:t|a|
ס|א|נ|ד|ר|ו|	s|a|n|d|r|o|
ו:ו|ד|ב|י|ל|	w:o:o|d|v|i|l:l:e|
ו|ו|ק|ו|ט|י:ט:ש|	v|u|k|o|t|i:c|
מ|ו|ר|א|ט|	m|u|r|a|t|
ל|ו|ס|י|א|נ|ו|	l|u|c|i|a|n|o|
ג:':א|ו|א|ד|	j:a|w|a|d|
ט|א|מ|פ|א|	t|a|m|p|a|
ו:ו|ד|	w:o:o|d|
ה|נ|ר|י|ק|	h:e|n|r|y|k|
ב|א|ר|ט:י|ז|	b|a|r|t:h:e|z|
א|ל|ג|י|פ|א|ר|י|	a|l|g:h|i|f|a|r|i|
צ:':א|ר|א|ל|א|מ|ב|ו|ס|	c:h|a:r|a|l|a|m|b|o|s|
ס|י|ד|א|ר|ו|ס|	s|e|d|a|r|o:u|s|
ה|א|נ|ס|	h|a|n:n|s|
ו|ו|ל|ץ|	v|o|l|z|
ר|ו|ב|ר|ט|ס|ו|ן|	r|o|b|e:r|t|s|o|n|
ק|ד|י|מ|ה|	k:a|d|i|m|a|
נ|א|ו|ה|י|ר|ו|	n|a|o|h|i|r|o|
מ|י|ג|ל|	m|i|g:u:e|l|
ב:א|ק|ל|י|	b:u:c|k|l:e|y|
ג|ו|ד|י|ר|י|א|ן|	g|u|d|e|r|i|a|n|
נ|י|ק|	n|i|k|
י|א|ג|ו|ר|	y|a|g|u|r|
ס|ו|ש:י|	s|u|s:h:i|
ב|י|ט|א|	b|e|t:t|a|
ה|א|י|	h|a|i|
ר|ו|ל|ד|ר|	r|o|l:e|d|e:r|
ל|ו|ב|ר|י:ט:ש|	l|o|v|r|i:c|
נ|ב|א|ה|ט|	n:e|b|a|h:a|t|
ב:ו|ד|א|ן|	b:o:h|d|a|n|
א|ר|י|ס|ט|י|ז|א|ב|א|ל|	a|r|i|s|t|i|z|a|b|a|l|
ק|ס|א|ב|	k:a|s:s|a|b|
פ|ר|ע|ו|ן|	p:h|a:r|a|o|n|
א|נ|ד|ר|	a|n|d|e:r|
א|ל|ה|	e|l|a|
צ:'|י|ש|ו|ל|ם|	c|h:i|s:h|o|l|m|
מ|א|י|ו|ל|	m|a|i|l:l:o|l|
ז|ב|י|ר|י|ב|	z|v|e|r|e|v|
ק|ד|י|ר|ו|ב|	k:a|d|y|r|o|v|
י|ו|ל|א|נ|ד|	y|o|l|a|n|d:e|
מ|י|ל|י|ס|	m|e|h:l|i|s|
ו:ל|ק|א|ן|	v:o:l|k|a|n|
ק|א|נ|א|	q|a|n|a|
פ|ר|י|ד|י|ר|י|ק|	f|r|e|d|e|r|i|k|
ג:':ו|ה|א|נ|ס|ב|ר|ג|	j:o|h|a|n:n:e|s|b|u:r|g|
ס|נ|ה|	s|n:e|h|
צ:':א|מ|ו|ט|	c:h|a:m|o|t|
א|ל|פ|ר|ז|ד:ק|	a|l|f:a|r:a|z|d:a:q|
מ|א|ר|י|	m|a|r|i|
ק|י|ר|ש|נ|י|ר|	k|i|r|c:h|n|e|r|
ב|ה|ק:ט|	b:e|h|c:e:t|
ל|ו:י|	l|e:v:y|
פ|י|ל|א:י|ו|	f|e|l|i|u|
מ|א|נ|א|ג|ו|א|	m|a|n|a|g|u|a|
ס|א|ו:ו:א|	s|a|w:a|
ג|ו|ק|ד|נ|י|ז|	g|o|k|d:e|n|i|z|
מ|ס|י|י|ה|	m:e|s:s|i|e|r|
ח|נ:א|	h:a|n:n:a|
ט|ר|י|נ|ט|י|נ|ו|	t|r|e|n|t|i|n|o|
ק|א|פ:ו|ר|	k|a|p:o:o|r|
ב|ו|ד|א|ן|	b|u|d|a|n|
ד|א|ו|ד|	d|a|u|d|
ע:ו:ו|א|ד|	a:w|a|d|
פ|ר|ו|ס|ט|	f|r|o|s|t|
ק|ו|ל|י|ט|	c|o|l|e|t:t:e|
ס|י|ד|	c|i|d|
ג|ר|י|מ|ס|ו|ן|	g|r|i|m|s:s|o|n|
ד|ו|ר|י:י:ד|	d|u|r:a|i:d|
ה:א|ב|א|נ|א|	h|a:v|a|n|a|
ר|ו|ב|א|נ|י|א|מ|י|	r|o|v|a|n|i|e|m|i|
ר|י|ק|ו|	r|i|c|o|
ק|ע|ב|י|	k|a|e:b|i|
א:י|ל|י|א|	i|l|y|a|
פ:י|ר|א|ר|א|	f:e:r|r|a|r|a|
ר|י|ב|י|ל|א|	r|i|v|i|l:l|a|
ק:י|צ:'|י|	k:i:i|c|h:i|
ז|ק|ר|י:א|	z:a|k|a:r:i|y:y:a|
ק|א|ט|ס|ו|ק|י|	k|a|t|s|u|k|i|
ב|א|ד:ר|	b|a|d:i:r|
מ|א|ק|פ|א|ד|י|ן|	m|a|c|f|a|d|y|e:n|
ט|ר|א|ב|ל|ס|י|	t|r|a|b:e|l|s|i|
ק|ר|י|ס|ט|י|ן|	k|r|i|s|t|i|n|
פ|ל|א|ס|י|ל|	p|l|a|s|i|l|
ב|י|ר|ט|ו|	b|e|r|t|o|
מ|י|ל|ז|	m|i|l:l|s|
ס|ט|א|ם|	s|t|a|m|
ש|ו|ש|	s:h|o|s:h|
מ|א|ר|ק|	m|a|r|k|
ג:'|י:י|ן|	j|a|n:e|
מ|א|נ|י|ע|	m|a|n|e|a|
ה|י|ק|ו|ב|א|	h|e|c|u|b|a|
ט|ו|נ|ט|ו|ן|	t|o|n|t|o|n|
ג|ו|ל|ב:ו|ר|ן|	g|o|l|b:o:u|r|n:e|
א|ב|ו|ג|א|ד|ר|ו|	a|v|o|g|a|d|r|o|
פ|ו|ט|ו|ש|ו|פ|	p:h|o|t|o|s:h|o|p|
ג|י|ר|	g:e|i|r|
א|י|ל|ו|ן|	a|y:a|l|o|n|
ו|י|ג:'|י:ט:ש|	v|e|j|i:c|
ק|ל|א|ש|נ|י|ק|ו|ב|	k:a|l|a|s:h|n|i|k|o|v|
ו|ו|נ|ל|א|נ|ת|ן|	v|o|n|l|a|n|t:h|e:n|
ק|ר|א:ו|ט:ש|	c|r|o|u:c:h|
י|א|ר|ו|ס|ל|א|ב|	j|a|r|o|s|l|a|v|
פ|ו|נ|ט|י|י|ן|	f|o|n|t|a|i|n:e|
ג|י|ל|י|	g|i|l|i|
ט|ק|פ|י|ר:י:ה|	t:a|k|f|i|r:i|
א|ל|א|ה|ר|א|ם|	a|l|a|h|r|a|m|
ק|י|ס|ו|ק|ה|	k:e|i|s|u|k|e|
א|ל|ו:ו:י|ן|	a|l|v:i|n|
א|ל|מ|ו|ר|ש:י|ד|	a|l|m|u|r|s:h:i|d|
ק|ל|י|נ|ס|מ|א|ן|	k|l|i|n|s|m|a|n:n|
ת|ר:י:י|ס|	t:h|r:a|c:e|
ק:ס|י|נ|ו|פ|א|נ|י|ס|	x|e|n|o|p:h|a|n|e|s|
ה|ו|פ|מ|א|ן|	h|o|f|m|a|n:n|
ט|א|ר|ט|ו|	t|a|r|t|u|
ח|מ|י|ד|ו|	h:a|m|i|d|o:u|
ר|י|ס|י|ן|	r|i|c|i|n|
ק|ו|נ|י|ב|	k|o|n|e|v|
ה|י|ב|י|ר|ט|	h|e|b|e|r|t|
א:ו|י|ל|	o|i|l|
ב|א|ר:י|מ|ו|ר|	b|a|r:r:y|m|o|r:e|
ג|י|ו|ר|ג|י|	g:h|e|o|r|g:h|e|
ו|י|א|ל|י|	v|i|a|l|e|
נ|א|ט|א|ש|א|	n|a|t|a|c:h|a|
צ:':א|ר|ל|ז|	c:h|a:r|l|e:s|
ז|א|ט|	z|a|t|
ג|ו|ג|י|נ|ו|	g|u|g|i|n|o|
ק|ר|א|ד|ו|ק|	c|r|a|d:d|o|c:k|
ו|י|ל|ה|ל|ם|	w|i|l|h:e|l|m|
ר|א|ש|ו|מ|ו|ן|	r|a|s:h|o|m|o|n|
ט|ר|י|ג|ב|י|	t|r|y|g|v|e|
א|ב|ו|ל|י|	e|b|o|l|i|
ק|א|ל|א|	k|a|l:l|a|
ל|י|ת|ו|א:י|נ|י|ה|	l|i|t:h|u|a|n|i|a|
י:ו|נ|י|ט|	u|n|i|t|
ד|ב|ו|ר|ה|	d|v|o|r|a|
א|ל|מ|א|ל:ח|	e|l|m|a|l:e:h|
ק|י|ו|מ|א|	k|y|u|m|a|
ר|ס|י|פ|י|	r:e|c|i|f|e|
ב|ו|	b|u|
ב|י|ל|א|ד|י|	b|i|l|a|d|y|
ד:י:י|ב:י|ז|	d:a|v:i:e|s|
ו|א:י|ט|	w|i|g:h:t|
ב|א|ק|א|ר|י|	b|a|k|a|r|i|
פ|א:י|ד|	f:a|y|e:d|
נ|ו|ר|ט|	n|o|r|t:e|
נ|י|ט|א|	n|i|t|a|
ט|ר|ו|ק|ו|ו|ס|ק|י|	t|r|o|c:h|o|w|s|k|i|
ל|ו|ב|ל|י|ן|	l|u|b|l|i|n|
נ|י|ק|ו|ל|א:י|י|ב|	n|i|k|o|l|a|y|e:v|
ג|א|ז|י|	g:h|a|z|i|
ו|י|י|ט|	v|i|e|t|
ב|נ|י|	b:e|n|e|
ר|ו|ב|ן|	r|o|b:i|n|
ר|ו|י|ס|י|	r|o:u|i|s:s|i|
ע|ד|א|נ|א|	a|d|a|n|a|
מ|א|ר|ק|	m|a|r|c|
ח|ג:':א|ו|י|	h:a:d|j:a|o:u|i|
ל|י|נ|ד|י|	l|y|n:n|d|i:e|
ח|נ|ו|ן|	h:a|n|o:u|n:e|
ב:נ|ד|י|	b:u:n|d|y|
מ|א|ק:ו|ב|י|	m|a|c:c:o|b|y|
צ:'|ו|ר|ד|א|	c|h:o|r|d|a|
ט|א|מ|א|ד|א|	t|a|m|a|d|a|
ו|א|ר|נ|ה|א|ג|ן|	v|a|r|n|h|a|g|e:n|
